"Parametro","Frecuentista","Bayesiano_Media","Bayesiano_Mediana","IC_2.5","IC_97.5","Rhat"
"Intercepto",1.2721,1.2848,1.287,1.095,1.475,1.0158
"Experiencia años",0.0516,0.0516,0.0516,0.0482,0.0548,1.0012
"Horas trabajadas",0.0287,0.0285,0.0284,0.0254,0.0319,1.0125
"Nivel estrés",-0.0667,-0.0667,-0.0667,-0.0754,-0.0582,1.0008
"Contrato residencia",-0.5009,-0.5009,-0.5004,-0.5497,-0.4525,1.0014
"Contrato temporal",-0.1776,-0.1776,-0.1778,-0.2144,-0.141,1.0009
"Formación adicional",0.0844,0.084,0.0839,0.068,0.1012,1.001
"σ_u (efectos aleatorios)",0.2537,0.2721,0.2662,0.1956,0.3807,1.0005
